"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","ID","talker","gender","order","duration","speech_rate","transcript","Order","clip1_id","clip2_id","selected_clip","clip1_speaker","clip2_speaker","clip1_gender","clip2_gender","clip1_transcript","clip2_transcript","accuracy","question_order"
"","","","","","audio-keyboard-response","347","1250913","0.0-347.0","","","","","","","","","","","","null","../audio/M1_03.WAV","s","M1_03","M1","male","2","1.220375","5.087881591","Being in medical field.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","348","1252922","0.0-348.0","","","","","","","","","","","","851","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","10","M2_04","M1_03","","M2","M1","male","male","People just focus on making money.","Being in medical field.","",""
"","","","","","audio-keyboard-response","349","1256492","0.0-349.0","","","","","","","","","","","","null","../audio/F1_03.WAV","null","F1_03","F1","female","1","2.034542","3.440","No, actually I was the only one.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","350","1259512","0.0-350.0","","","","","","","","","","","","null","../audio/M2_01.WAV","l","M2_01","M2","male","2","3.0","2.667","The airport is basically a one-story building.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","351","1261522","0.0-351.0","","","","","","","","","","","","891","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","11","F1_03","M2_01","","F1","M2","female","male","No, actually I was the only one.","The airport is basically a one-story building.","",""
"","","","","","audio-keyboard-response","352","1264047","0.0-352.0","","","","","","","","","","","","null","../audio/M1_04.WAV","null","M1_04","M1","male","1","0.999906","2.000188035","Parallel ways.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","353","1265093","0.0-353.0","","","","","","","","","","","","null","../audio/M2_02.WAV","s","M2_02","M2","male","2","1.039885","3.846","So that was great.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","354","1267107","0.0-354.0","","","","","","","","","","","","1718","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","12","M1_04","M2_02","","M1","M2","male","male","Parallel ways.","So that was great.","",""
"","","","","","audio-keyboard-response","355","1270117","0.0-355.0","","","","","","","","","","","","null","../audio/M3_03.WAV","null","M3_03","M3","male","1","1.483458","3.371","Not too far away from here.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","356","1272232","0.0-356.0","","","","","","","","","","","","null","../audio/M4_01.WAV","l","M4_01","M4","male","2","2.112052","2.841","The main source is from class.","","","","","","","","","","","",""
